"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8890","TS006 - Verify asset order","","2026-08-04","passed","2026-08-04","","Playlist Module (MOD-003)","",""
"","15707","TS002 - Skip all non-quiz assets while searching","","2026-08-04","passed","2026-08-04","","Quiz Player Module (MOD-006)","",""
"","14624","TS010 - Verify Landscape Mode button click action","","2026-08-04","passed","2026-08-04","","PDF / Worksheet Player Module (MOD-004)","",""
"","8061","TS013 - Verify Playlist refreshes","","2026-08-04","passed","2026-08-04","","Navigation Module (MOD-002)","",""
"","8831","TS008 - Verify Default Chapter is loaded","","2026-08-04","passed","2026-08-04","","Navigation Module (MOD-002)","",""
"","12227","TS008 - Verify Total Page Count & pagination bar is displayed","","2026-08-04","passed","2026-08-04","","PDF / Worksheet Player Module (MOD-004)","",""
"","13903","TS006 - Verify the first question and answer options are displayed","","2026-08-04","passed","2026-08-04","","Quiz Player Module (MOD-006)","",""
"","13429","TS002 - Verify PDF Viewer container loads successfully","","2026-08-04","passed","2026-08-04","","PDF / Worksheet Player Module (MOD-004)","",""
"","14436","TS006 - Verify Go To Page input box typing and GO button click action","","2026-08-04","passed","2026-08-04","","PDF / Worksheet Player Module (MOD-004)","",""
"","8204","TC017 - Verify Empty Password field keeps button disabled and highlights red border","","2026-08-04","passed","2026-08-04","","Login Validation Module","",""
"","11971","TS012 - Click Previous Question and verify navigation","","2026-08-04","passed","2026-08-04","","Quiz Player Module (MOD-006)","",""
"","21494","TS003 - Validate Video Stream Playback Lifecycle and Termination","","2026-08-04","passed","2026-08-04","","Video Player Module (MOD-005)","",""
"","13474","TS014 - Verify user returns to Playlist container after closing PDF","","2026-08-04","passed","2026-08-04","","PDF / Worksheet Player Module (MOD-004)","",""
"","5968","TC018 - Verify Empty School field keeps button disabled and highlights red border","","2026-08-04","passed","2026-08-04","","Login Validation Module","",""
"","21560","TS005 - Validate Video Audio Output Controls (Mute/Unmute Functionality via #myMuteIcon)","","2026-08-04","passed","2026-08-04","","Video Player Module (MOD-005)","",""
"","14750","TS011 - Click Next Question and verify navigation","","2026-08-04","passed","2026-08-04","","Quiz Player Module (MOD-006)","",""
"","15093","TS010 - Click Show Answer and verify the correct answer is displayed","","2026-08-04","passed","2026-08-04","","Quiz Player Module (MOD-006)","",""
"","16807","TS001 - Verify all PDF/Worksheet asset cards are present in Playlist","","2026-08-04","passed","2026-08-04","","PDF / Worksheet Player Module (MOD-004)","",""
"","12590","TS007 - Verify Go To Page input box is visible and interactable","","2026-08-04","passed","2026-08-04","","PDF / Worksheet Player Module (MOD-004)","",""
"","15736","TC014 - Verify Invalid Username displays login-pwd-error-message","","2026-08-04","passed","2026-08-04","","Login Validation Module","",""
"","13506","TS004 - Open the Quiz Player and verify the countdown screen appears","","2026-08-04","passed","2026-08-04","","Quiz Player Module (MOD-006)","",""
"","10057","TS005 - Verify asset count is greater than zero","","2026-08-04","passed","2026-08-04","","Playlist Module (MOD-003)","",""
"","8264","TS002 - Verify Current Class is displayed","","2026-08-04","passed","2026-08-04","","Navigation Module (MOD-002)","",""
"","10489","TS008 - Verify asset can be selected/highlighted","","2026-08-04","passed","2026-08-04","","Playlist Module (MOD-003)","",""
"","15927","TS013 - Click any question number and verify direct navigation","","2026-08-04","passed","2026-08-04","","Quiz Player Module (MOD-006)","",""
"","14739","TS001 - Verify playlist loads after topic selection","","2026-08-04","passed","2026-08-04","","Playlist Module (MOD-003)","",""
"","17542","TS014 - Verify Current Class updates","","2026-08-04","passed","2026-08-04","","Navigation Module (MOD-002)","",""
"","9352","TS003 - Verify playlist refreshes after topic change","","2026-08-04","passed","2026-08-04","","Playlist Module (MOD-003)","",""
"","9992","TS004 - Verify All My Classes tab","","2026-08-04","passed","2026-08-04","","Navigation Module (MOD-002)","",""
"","13033","TS015 - Verify complete action suite on all remaining PDF cards in playlist (excluding card 0)","","2026-08-04","passed","2026-08-04","","PDF / Worksheet Player Module (MOD-004)","",""
"","14608","TS008 - Select an answer and verify the Submit button becomes enabled","","2026-08-04","passed","2026-08-04","","Quiz Player Module (MOD-006)","",""
